card_id,pr_id,population_case_type,pr_state,merged,repo_id,agent,html_url,evidence_source,evidence_created_at,merged_at,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge,justificacion_breve,cita_textual_retrabajo
3081566388-A,3081566388,merged_after_rework,closed,True,41005795,Copilot,https://github.com/microsoft/GSL/pull/1208,pr_review_comment,2025-05-21T23:05:28Z,2025-05-22T17:52:47Z,,19.258,19.258,merge_sin_review_aprobada,ajustes_implementacion_review,No se aprobo inmediatamente porque la revision dejo comentarios sobre la implementacion que debian atenderse. La senal principal proviene de comentarios inline de review.,"Instead of having 3 of these, can we just have one build /?."
3081576661-A,3081576661,merged_after_rework,closed,True,166226127,Copilot,https://github.com/christianhelle/apiclientcodegen/pull/1169,pr_comment,2025-05-22T15:19:25Z,2025-05-22T21:44:23Z,,23.012,23.012,merge_sin_review_aprobada,correccion_funcional_logica,No se aprobo inmediatamente porque la logica funcional o el comportamiento del cambio necesitaba correccion. La senal principal proviene de comentarios del PR.,Change new to override and match the signature to ensure the custom logic runs.
3082820826-A,3082820826,merged_after_rework,closed,True,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15839,pr_review_comment,2025-05-22T12:17:58Z,2025-05-29T02:58:31Z,159.789,160.853,159.789,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.",The upcoming version is 3.0.0.
3083360457-A,3083360457,merged_after_rework,closed,True,376924587,Copilot,https://github.com/microsoft/go-sqlcmd/pull/582,pr_review,2025-05-28T13:07:02Z,2025-05-28T13:31:41Z,134.752,144.205,134.752,primera_review_aprobada,pruebas_faltantes_o_insuficientes,No se aprobo inmediatamente porque se pidieron pruebas o cobertura adicional para validar el cambio. La review solicito cambios.,per the update made here: se pidio fix the title and PR description a --disable-prompts flag has note been added.
3084021151-A,3084021151,merged_after_rework,closed,True,166464283,Copilot,https://github.com/Azure/AppConfiguration/pull/1067,pr_review_comment,2025-05-22T17:10:04Z,2025-05-22T18:26:43Z,0.674,1.376,0.674,primera_review_aprobada,dependencias_versiones_migracion,"No se aprobo inmediatamente porque el cambio implicaba actualizar dependencias, versiones o una migracion que requirio ajustes. La senal principal proviene de comentarios inline de review.",This should use the latest release of 2.1.
3084794817-A,3084794817,merged_after_rework,closed,True,174629277,Copilot,https://github.com/microsoft/lisa/pull/3822,pr_review_comment,2025-05-23T00:29:39Z,2025-05-24T03:29:35Z,27.643,27.648,27.643,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.",The AzureCliCredential directly accepts tenant id and other parameters in its constructor without requiring environment variables to be set.
3084861928-A,3084861928,merged_after_rework,closed,True,215705753,Copilot,https://github.com/lgallard/terraform-aws-backup/pull/115,pr_review,2025-05-30T23:58:39Z,2025-05-30T23:59:32Z,,191.1,191.1,merge_sin_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La evidencia disponible apunta a esa causa.","I wonder if it's backward compatible, or if we can considere using terraform moved as explained here It would be great having migrated by default in code, if possible."
3085322410-A,3085322410,merged_after_rework,closed,True,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15852,pr_review,2025-05-23T08:55:50Z,2025-05-23T08:59:41Z,2.537,2.601,2.537,primera_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La evidencia disponible apunta a esa causa.",Documentation preview for 91aac25e0b6056018e7fa8f07dbbe7d29e7e8036 will be available when this CircleCI job completes successfully.
3085653329-A,3085653329,merged_after_rework,closed,True,100315623,Copilot,https://github.com/Azure/autorest.csharp/pull/5327,pr_review_comment,2025-05-23T08:49:13Z,2025-05-23T10:02:59Z,1.358,1.403,1.358,primera_review_aprobada,configuracion_ci_despliegue,"No se aprobo inmediatamente porque la configuracion de CI, despliegue o automatizacion requeria ajustes. La senal principal proviene de comentarios inline de review.",I've reverted the version of @azure-tools/typespec-azure-resource-manager back to 0.56.0 in both the root package.json and....
3086540771-A,3086540771,merged_after_rework,closed,True,32051890,Copilot,https://github.com/dotnet/msbuild/pull/11887,pr_review_comment,2025-05-23T14:32:43Z,2025-06-12T07:21:17Z,456.4,473.055,456.4,primera_review_aprobada,configuracion_ci_despliegue,"No se aprobo inmediatamente porque la configuracion de CI, despliegue o automatizacion requeria ajustes. La senal principal proviene de comentarios inline de review.",Update only the tools.dotnet version.
3087094895-A,3087094895,merged_after_rework,closed,True,587965862,Copilot,https://github.com/microsoft/finops-toolkit/pull/1633,pr_review_comment,2025-05-25T16:33:14Z,2025-05-29T08:53:19Z,135.128,135.159,135.128,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.",File: src/templates/finops-hub/modules/scripts/IngestionSetup 1 Settings.kql Merge the Settings and OpenData files into one called IngestionSetup NonVersioned.kql.
3087813875-A,3087813875,merged_after_rework,closed,True,80874333,Copilot,https://github.com/MikePopoloski/slang/pull/1372,pr_review_comment,2025-05-24T01:36:58Z,2025-05-24T10:44:26Z,,9.902,9.902,merge_sin_review_aprobada,pruebas_faltantes_o_insuficientes,No se aprobo inmediatamente porque se pidieron pruebas o cobertura adicional para validar el cambio. La senal principal proviene de comentarios inline de review.,se pidio remove this check.
3090023166-A,3090023166,merged_after_rework,closed,True,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15877,pr_comment,2025-05-26T05:21:29Z,2025-05-26T05:27:51Z,,0.279,0.279,merge_sin_review_aprobada,pruebas_faltantes_o_insuficientes,No se aprobo inmediatamente porque se pidieron pruebas o cobertura adicional para validar el cambio. La senal principal proviene de comentarios del PR.,Documentation preview for 30026f1e6d26b38b64b7830f12ce9da201d4b4f0 will be available when this CircleCI job completes successfully.
3091075597-A,3091075597,merged_after_rework,closed,True,726072067,Copilot,https://github.com/estruyf/vscode-demo-time/pull/123,pr_comment,2025-05-26T12:39:57Z,2025-05-26T16:09:03Z,,3.509,3.509,merge_sin_review_aprobada,configuracion_ci_despliegue,"No se aprobo inmediatamente porque la configuracion de CI, despliegue o automatizacion requeria ajustes. La senal principal proviene de comentarios del PR.",se pidio add some default styling for the tables?.
3093824141-A,3093824141,merged_after_rework,closed,True,630287118,Copilot,https://github.com/feiskyer/chatgpt-copilot/pull/491,pr_comment,2025-07-18T13:07:20Z,2025-07-18T13:56:26Z,,1249.109,1249.109,merge_sin_review_aprobada,ajuste_diseno_api_modelo,"No se aprobo inmediatamente porque el diseno de API, modelo de datos o contrato tecnico necesitaba ajuste. La senal principal proviene de comentarios del PR.",se pidio rebase your branch and rework your changes?.
3094144121-A,3094144121,merged_after_rework,closed,True,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15909,pr_review_comment,2025-05-27T14:36:27Z,2025-05-27T15:15:53Z,,0.827,0.827,merge_sin_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios inline de review.",let's remove hook type options.
3095409522-A,3095409522,merged_after_rework,closed,True,77990768,Copilot,https://github.com/Azure/azure-functions-core-tools/pull/4445,pr_comment,2025-06-09T19:58:01Z,2025-06-18T20:15:38Z,522.993,525.69,522.993,primera_review_aprobada,correccion_funcional_logica,No se aprobo inmediatamente porque la logica funcional o el comportamiento del cambio necesitaba correccion. La senal principal proviene de comentarios del PR.,FYI i pulled the changes from @gavin-aguiar's PR to ensure that the test passes.
3098739033-A,3098739033,merged_after_rework,closed,True,210716005,Copilot,https://github.com/dotnet/runtime/pull/116080,pr_review,2025-05-30T22:19:40Z,2025-06-05T21:11:08Z,47.114,190.167,47.114,primera_review_aprobada,pruebas_faltantes_o_insuficientes,No se aprobo inmediatamente porque se pidieron pruebas o cobertura adicional para validar el cambio. La review solicito cambios.,"se pidio remove this method too, and just make GetAccessibilityRank accept a MethodInfo and have that method get the attributes and return the rank?."
3098938231-A,3098938231,merged_after_rework,closed,True,845317529,Copilot,https://github.com/giselles-ai/giselle/pull/994,pr_review,2025-05-29T03:43:05Z,2025-05-29T03:44:08Z,1.816,1.833,1.816,primera_review_aprobada,ajuste_menor_review,No se aprobo inmediatamente porque la revision marco ajustes menores de implementacion o limpieza. La evidencia disponible apunta a esa causa.,"When rethrowing errors in the catch block, consider preserving the original error as a 'cause' e.g., using new Error ..., { cause: error } so that the error stack...."
3099658013-A,3099658013,merged_after_rework,closed,True,920805662,Copilot,https://github.com/microsoft/documentdb/pull/204,pr_review_comment,2025-06-12T08:45:49Z,2025-06-18T07:49:04Z,335.637,478.895,335.637,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.","File: packaging/build rpm packages.sh this script has majority of duplicate content from existing build packages.sh script, can we merge it to use one script both for...."
3102987892-A,3102987892,merged_after_rework,closed,True,247710440,Copilot,https://github.com/specmatic/specmatic/pull/1872,pr_review_comment,2025-05-30T17:46:24Z,2025-06-01T11:02:48Z,,47.347,47.347,merge_sin_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios inline de review.","In fact, isn't this logic comparable to private fun calculatePathForJSONObjectPattern key: String, childValue: Value, objectPattern: JSONObjectPattern, resolver...."
3104405109-A,3104405109,merged_after_rework,closed,True,33373292,Copilot,https://github.com/microsoft/ApplicationInsights-JS/pull/2583,pr_review_comment,2025-06-06T20:08:53Z,2025-07-07T21:16:47Z,742.318,910.655,742.318,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.","should be usable"" ; + } + } ; + + this.testCase { + name: ""IAnalyticsConfig: Interface extends IConfig and IConfiguration"", + test: = { + // Create a test config that...."
3105376649-A,3105376649,merged_after_rework,closed,True,143808059,Copilot,https://github.com/cybersemics/em/pull/2994,pr_review,2025-05-31T12:13:13Z,2025-06-02T17:06:55Z,,53.204,53.204,merge_sin_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La review solicito cambios.","Merge main, resolve conflicts, run prettier --write."
3105630972-A,3105630972,merged_after_rework,closed,True,65654242,Copilot,https://github.com/wvlet/airframe/pull/3947,pr_review_comment,2025-06-02T17:34:08Z,2025-06-02T18:51:15Z,,51.58,51.58,merge_sin_review_aprobada,reduccion_alcance_o_sobrecodigo,"No se aprobo inmediatamente porque se pidio reducir alcance, eliminar cambios innecesarios o revertir partes del PR. La senal principal proviene de comentarios inline de review.",This part causes compilation failure.
3108675807-A,3108675807,merged_after_rework,closed,True,2327138,Copilot,https://github.com/EduMIPS64/edumips64/pull/1360,pr_review_comment,2025-06-02T11:02:59Z,2025-06-03T21:04:30Z,39.066,39.287,39.066,primera_review_aprobada,ajustes_implementacion_review,No se aprobo inmediatamente porque la revision dejo comentarios sobre la implementacion que debian atenderse. La senal principal proviene de comentarios inline de review.,That would make the public fields more appropriate.
3108861090-A,3108861090,merged_after_rework,closed,True,136202695,Copilot,https://github.com/mlflow/mlflow/pull/16007,pr_comment,2025-06-02T07:40:14Z,2025-06-02T08:01:26Z,,1.118,1.118,merge_sin_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios del PR.",Documentation preview for 9ca3aee52bfdc265df212b3801b14faf52b5a27e will be available when this CircleCI job completes successfully.
3113149474-A,3113149474,merged_after_rework,closed,True,470727349,Copilot,https://github.com/celestiaorg/docs/pull/2062,pr_review_comment,2025-06-03T09:55:53Z,2025-06-03T09:57:37Z,0.623,0.632,0.623,primera_review_aprobada,configuracion_ci_despliegue,"No se aprobo inmediatamente porque la configuracion de CI, despliegue o automatizacion requeria ajustes. La senal principal proviene de comentarios inline de review.",PR Preview Action v1.6.1 :---: Preview removed because the pull request was closed.
3114898378-A,3114898378,merged_after_rework,closed,True,153795464,Copilot,https://github.com/artprima/prometheus-metrics-bundle/pull/118,pr_review_comment,2025-06-03T23:20:49Z,2025-06-04T02:03:10Z,,8.181,8.181,merge_sin_review_aprobada,pruebas_faltantes_o_insuficientes,No se aprobo inmediatamente porque se pidieron pruebas o cobertura adicional para validar el cambio. La senal principal proviene de comentarios inline de review.,Add the same as for pull request but for push.
3115119469-A,3115119469,merged_after_rework,closed,True,111599187,Copilot,https://github.com/kanisterio/kanister/pull/3501,pr_review,2025-06-04T06:02:04Z,2025-06-04T22:23:39Z,23.651,27.289,23.651,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La evidencia disponible apunta a esa causa.","good start, but not all linter issues are solved."
3115680597-A,3115680597,merged_after_rework,closed,True,156939672,Copilot,https://github.com/microsoft/onnxruntime/pull/24947,pr_review,2025-06-04T00:36:06Z,2025-06-04T21:45:06Z,1.523,22.673,1.523,primera_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La evidencia disponible apunta a esa causa.","/azp run Linux QNN CI Pipeline,Win TRT Minimal CUDA Test CI,Windows ARM64 QNN CI Pipeline,Windows GPU Doc Gen CI Pipeline,Windows x64 QNN CI Pipeline."
3115762277-A,3115762277,merged_after_rework,closed,True,696529789,Copilot,https://github.com/dotnet/aspire/pull/9676,pr_review_comment,2025-06-05T00:32:50Z,2025-06-11T02:29:13Z,170.305,170.582,170.305,primera_review_aprobada,pruebas_faltantes_o_insuficientes,No se aprobo inmediatamente porque se pidieron pruebas o cobertura adicional para validar el cambio. La senal principal proviene de comentarios inline de review.,"Instead of using IAnsiConsole, change the code to use IInteractionService."
3120162244-A,3120162244,merged_after_rework,closed,True,136202695,Copilot,https://github.com/mlflow/mlflow/pull/16088,pr_comment,2025-06-05T09:26:22Z,2025-06-05T09:26:30Z,1.2,1.872,1.2,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios del PR.","nitpick Consider assigning the result of 'decorator.func' to a temporary variable instead of reassigning 'decorator' directly, which can improve readability."
3120246489-A,3120246489,merged_after_rework,closed,True,111599187,Copilot,https://github.com/kanisterio/kanister/pull/3506,pr_review_comment,2025-06-05T11:01:48Z,2025-06-18T19:07:04Z,,323.042,323.042,merge_sin_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.","Remove the alias, it's excessive."
3124709717-A,3124709717,merged_after_rework,closed,True,221931137,Copilot,https://github.com/celestiaorg/celestia-core/pull/1918,pr_review_comment,2025-06-06T13:17:06Z,2025-06-06T14:55:10Z,1.806,1.99,1.806,primera_review_aprobada,reduccion_alcance_o_sobrecodigo,"No se aprobo inmediatamente porque se pidio reducir alcance, eliminar cambios innecesarios o revertir partes del PR. La senal principal proviene de comentarios inline de review.",Removed the line as requested in commit ee884d8.
3125708547-A,3125708547,merged_after_rework,closed,True,221931137,Copilot,https://github.com/celestiaorg/celestia-core/pull/1935,pr_review,2025-06-06T19:57:35Z,2025-06-11T14:52:46Z,69.08,115.182,69.08,primera_review_aprobada,ajustes_implementacion_review,No se aprobo inmediatamente porque la revision dejo comentarios sobre la implementacion que debian atenderse. La evidencia disponible apunta a esa causa.,"Changed ""Recovery"" to ""RECOVERY"" to match the uppercase pattern used by all other reactor names in the switch."
3125790678-A,3125790678,merged_after_rework,closed,True,33010673,Copilot,https://github.com/microsoft/perfview/pull/2227,pr_review_comment,2025-06-06T20:36:15Z,2025-06-06T23:51:24Z,2.414,3.461,2.414,primera_review_aprobada,pruebas_faltantes_o_insuficientes,No se aprobo inmediatamente porque se pidieron pruebas o cobertura adicional para validar el cambio. La senal principal proviene de comentarios inline de review.,se pidio remove this line from the change.
3125817776-A,3125817776,merged_after_rework,closed,True,108311273,Copilot,https://github.com/Azure/azure-sdk-for-js/pull/34735,pr_review_comment,2025-06-06T20:52:18Z,2025-06-09T22:10:11Z,56.839,73.515,56.839,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.",Applied your formatting suggestion in commit ce7f1d7.
3129041184-A,3129041184,merged_after_rework,closed,True,456470362,Copilot,https://github.com/polkadot-cloud/polkadot-staking-dashboard/pull/2801,pr_comment,2025-06-09T07:10:22Z,2025-06-09T08:35:06Z,,4.905,4.905,merge_sin_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios del PR.",I can see that you have duplicated some types in ui-graph and avoided adding plugin-staking-api as a dependency.
3131854557-A,3131854557,merged_after_rework,closed,True,824265054,Copilot,https://github.com/CommunityToolkit/Aspire/pull/724,pr_review_comment,2025-06-10T13:41:48Z,2025-06-16T04:38:41Z,147.503,147.506,147.503,primera_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios inline de review.",Imagine you were building a service with ingress proxy being your only public endpoint.
3134530187-A,3134530187,merged_after_rework,closed,True,541735786,Copilot,https://github.com/lukasoppermann/style-dictionary-utils/pull/114,pr_comment,2025-06-10T18:43:01Z,2025-06-10T19:06:55Z,0.384,0.477,0.384,primera_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios del PR.","The issue has been upated, check it again and update the PR."
3134926821-A,3134926821,merged_after_rework,closed,True,41881900,Copilot,https://github.com/microsoft/vscode/pull/251156,pr_review,2025-06-10T22:16:38Z,2025-06-12T22:47:30Z,48.036,48.921,48.036,primera_review_aprobada,ajuste_ui_ux,No se aprobo inmediatamente porque la interfaz o experiencia visual necesitaba ajustes antes de aprobarse. La evidencia disponible apunta a esa causa.,"this check is for being in the last cell of the notebook, in which the initial state before this PR was correct, it should return and do nothing."
3137658330-A,3137658330,merged_after_rework,closed,True,541735786,Copilot,https://github.com/lukasoppermann/style-dictionary-utils/pull/116,pr_review_comment,2025-06-12T14:24:03Z,2025-06-13T20:49:39Z,0.015,50.989,0.015,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.",Remove formatDurationString from this PR and use ${value}${unit} directly insead.
3138223553-A,3138223553,merged_after_rework,closed,True,61973853,Copilot,https://github.com/microsoft/vscode-mssql/pull/19579,pr_comment,2025-06-13T00:45:18Z,2025-06-25T17:47:48Z,311.22,331.728,311.22,primera_review_aprobada,correccion_funcional_logica,No se aprobo inmediatamente porque la logica funcional o el comportamiento del cambio necesitaba correccion. La senal principal proviene de comentarios del PR.,That still didn't fix it.
3139271869-A,3139271869,merged_after_rework,closed,True,696529789,Copilot,https://github.com/dotnet/aspire/pull/9849,pr_comment,2025-06-13T06:12:48Z,2025-06-16T06:24:52Z,92.449,94.367,92.449,primera_review_aprobada,configuracion_ci_despliegue,"No se aprobo inmediatamente porque la configuracion de CI, despliegue o automatizacion requeria ajustes. La senal principal proviene de comentarios del PR.","Use global configuration in $HOME/.aspire/settings.json instead of the local settings file."" + }; + Options.Add globalOption ; } - private sealed class GetCommand...."
3141472779-A,3141472779,merged_after_rework,closed,True,416855086,Copilot,https://github.com/github/gh-gei/pull/1359,pr_review_comment,2025-06-12T20:56:21Z,2025-06-20T14:23:01Z,185.853,185.988,185.853,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La senal principal proviene de comentarios inline de review.",Add explicit workflow permissions section and grant it contents: read.
3141802223-A,3141802223,merged_after_rework,closed,True,42548553,Copilot,https://github.com/Azure/azure-functions-host/pull/11115,pr_review_comment,2025-06-13T22:01:04Z,2025-07-24T22:46:26Z,1006.168,1007.051,1006.168,primera_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios inline de review.",se pidio note that this is a major version change brought in by the new version of Azure.Core.
3141911282-A,3141911282,merged_after_rework,closed,True,61973853,Copilot,https://github.com/microsoft/vscode-mssql/pull/19596,pr_comment,2025-06-24T21:33:10Z,2025-06-25T17:49:20Z,285.279,305.053,285.279,primera_review_aprobada,falla_ci_tests,"No se aprobo inmediatamente porque habia fallas de CI, build o tests que debian resolverse antes del merge. La senal principal proviene de comentarios del PR.",merge the latest from main to fix the failing tests.
